scenario,scale_gev,log10_scale_gev,gY,g2,g3,lambdaH,C5_norm_gev_inverse,mass_norm_ev,m_light_ev,m_middle_ev,m_heavy_ev
eft_only,1000.0,3.0,0.37,0.61,0.82,0.2,9.018140155365104e-16,0.05467183296104749,0.0010743382137649018,0.009341887713038018,0.05385707242953438
eft_only,962.7001604871375,2.9834910442143276,0.36991670735091237,0.6101730980788983,0.8209306663956882,0.200558435387314,9.012359941585591e-16,0.0546367908263292,0.0010736495775005863,0.009335899909042107,0.05382255253398088
eft_only,926.7915990019594,2.966982088428655,0.36983347092785157,0.6103463436002228,0.8218645088060116,0.2011186387005973,9.006568657310136e-16,0.05460168157751704,0.0010729596224497105,0.00932990063724406,0.05378796652449606
eft_only,892.2224210973171,2.9504731326429825,0.3697502906675878,0.610519736773408,0.822801545336406,0.2016806192810368,9.000766268854565e-16,0.05456650501040312,0.001072268344599603,0.009323889862750841,0.05375331419991525
eft_only,858.9426679806096,2.93396417685731,0.3696671665069909,0.6106932778083048,0.8237417942371363,0.20224438654744792,8.99495274234858e-16,0.054531260919651124,0.0010715757399154344,0.009317867550476632,0.05371859535796211
eft_only,826.9042443141822,2.9174552210716374,0.36958409838302986,0.6108669669151826,0.8246852739047884,0.20280994999711188,8.989128043734237e-16,0.054495949098787216,0.0010708818043400291,0.009311833665141206,0.05368380979523978
eft_only,796.0608487087584,2.900946265285965,0.36950108623277284,0.611040804304729,0.8256320028837818,0.20337731920662536,8.983292138764393e-16,0.054460569340190536,0.0010701865337936736,0.009305788171268368,0.053648957307221475
eft_only,766.3679068094485,2.8844373095002926,0.3694181299933869,0.6112147901880516,0.8265819998679012,0.20394650383276025,8.977444993001152e-16,0.05442512143508378,0.0010694899241738992,0.00929973103318432,0.05361403768824107
eft_only,737.7825068776478,2.8679283537146203,0.3693352296021378,0.6113889247766795,0.8275352837018463,0.20451751361333526,8.971586571814274e-16,0.054389605173523585,0.0010687919713553607,0.009293662215016001,0.053579050731483974
eft_only,710.2633377757135,2.8514193979289475,0.36925238499638985,0.6115632082825634,0.8284918733828016,0.2050903583680984,8.9657168403796e-16,0.054354020344390956,0.0010680926711895977,0.00928758168068948,0.05354399622897733
eft_only,683.7706292648094,2.834910442143275,0.36916959611360556,0.6117376409180773,0.8294517880620265,0.2056650479996217,8.959835763677426e-16,0.05431836673538145,0.0010673920195048527,0.00928148939392826,0.05350887397158053
eft_only,658.2660945296229,2.818401486357603,0.3690868628913456,0.6119122228960195,0.8304150470464651,0.20624159249420743,8.95394330649088e-16,0.05428264413299527,0.0010666900121058768,0.009275385318251632,0.05347368374897545
eft_only,633.7128748469087,2.80189253057193,0.36900418526726864,0.6120869544296139,0.8313816698003776,0.2068200019228064,8.948039433404279e-16,0.054246852322527364,0.0010659866447737475,0.009269269416972868,0.05343842534965667
eft_only,610.0754863178843,2.7853835747862576,0.36892156317913083,0.6122618357325104,0.8323516759469923,0.20740028644194877,8.942124108801459e-16,0.05421099108805726,0.0010652819132656486,0.009263141653197646,0.05340309856092142
eft_only,587.3197685874957,2.7688746190005853,0.368838996564786,0.6124368670187865,0.8333250852701785,0.20798245629468717,8.93619729686409e-16,0.054175060212438904,0.0010645758133146865,0.00925700198982214,0.053367703168859686
eft_only,565.41283547645,2.7523656632149125,0.36875648536218536,0.6126120485029488,0.8343019177161414,0.20856652181155227,8.930258961569984e-16,0.054139059477290315,0.001063868340629688,0.009250850389531431,0.05333223895834386
eft_only,544.3230274546659,2.73585670742924,0.36867402950937705,0.6127873803999331,0.8352821933951393,0.20915249341152153,8.924309066691362e-16,0.0541029886629832,0.001063159490894977,0.009244686814797563,0.05329670571301868
eft_only,524.0198658874514,2.719347751643568,0.3685916289445063,0.6129628629251064,0.8362659325832223,0.20974038160300076,8.91834757579313e-16,0.054066847548632356,0.0010624492597701835,0.009238511227877853,0.05326110321529062
eft_only,504.47400898829727,2.702838795857895,0.368509283605815,0.6131384962942675,0.8372531557239944,0.210330196984819,8.912374452231107e-16,0.05403063591208507,0.0010617376428900382,0.009232323590813036,0.053225431246317616
