scale_gev,log10_scale_gev,gY,g2,g3,lambda1,lambda2,lambda3,lambda4,lambda5,mH2_gev2,mEta2_gev2,sqrt_mEta2_gev,max_abs_h,M1_gev,M2_gev,M3_gev,bfb_lambda3_margin,bfb_lambda345_margin
1000000.0,6.0,0.37,0.61,0.82,0.2,0.18,0.1,-0.08,1e-08,-7800.0,1440000.0,1200.0,0.12711208219795395,1000.0,1300.0,1600.0,0.28973665961010275,0.20973664961010274
896150.5019466049,5.9523809523809526,0.36975405008454165,0.6104733612652465,0.8226930950349065,0.2016012340416881,0.17989038932622753,0.09969489570612222,-0.08005394496226784,9.997924840087203e-09,-8024.497554764553,1440977.9915427591,1200.4074273107274,0.1271876599732674,999.9990009783913,1299.9897134444732,1599.9307187152456,0.29013156360494674,0.21007760864475405
803085.7221391521,5.904761904761905,0.36950858998841846,0.6109478262315235,0.8254129000543116,0.20321750865077082,0.17978084319875515,0.09938835201656032,-0.08010709142471842,9.99575480951246e-09,-8247.26038534863,1441959.6877783947,1200.8162589582116,0.1272633767826888,999.9980007051244,1299.9794141794423,1599.86135797136,0.2905286540409787,0.21042155262050552
719685.6730011514,5.857142857142857,0.36926361808796065,0.6114233991945374,0.8281598595116021,0.2048490524888224,0.17967135921516908,0.09908036004202883,-0.08015942740968078,9.993488439774258e-09,-8468.276777302004,1442945.1027167328,1201.2264993400424,0.12733923318952448,999.9969991770724,1299.969102173384,1599.7919175779098,0.29092797585886987,0.21076853845570065
644946.677103762,5.809523809523809,0.3690191327670234,0.6119000844734376,0.8309344282835348,0.20649609978104463,0.17956193495711525,0.09877091079906615,-0.08021094071197626,9.991124236323994e-09,-8687.534939082314,1443934.250466576,1201.6381528840436,0.12741522975983915,999.9959963910954,1299.9587773946325,1599.7223973436164,0.2913295752049607,0.2111186245018602
577969.2884153313,5.761904761904762,0.3687751324169424,0.6123778864109822,0.8337370719866354,0.20815889049361228,0.17945256799012232,0.0984599952080539,-0.08026161889353874,9.988660677968802e-09,-8905.023001142166,1444927.1452365438,1202.0512240485193,0.12749136706247569,999.9949923440388,1299.94843981138,1599.6527970763573,0.2917334994683466,0.2114718705861472
517947.46792312124,5.714285714285714,0.3685316154364889,0.6128568093737037,0.8365682673054358,0.20983767051791036,0.17934325586342317,0.09814760409117446,-0.08031144927787108,9.986096216256544e-09,-9120.729014987857,1445923.8013359215,1202.465717322503,0.12756764566907505,999.9939870327349,1299.938089391682,1599.5831165831614,0.29213979731935125,0.21182833805538395
464158.8833612782,5.666666666666667,0.3682885802318262,0.6133368577520764,0.8394285023330755,0.2115326918619815,0.17923399610977514,0.0978337281703053,-0.08036041894433266,9.983429274842437e-09,-9334.640952209065,1446924.233175518,1202.8816372260064,0.1276440661540965,999.9929804540006,1299.927726103449,1599.5133556701956,0.2925485187494512,0.2121880898216893
415956.2163071843,5.619047619047619,0.36804602521646534,0.6138180359606857,0.8423182769247811,0.2132442128494988,0.17912478624527875,0.09751835806485014,-0.08040851472225248,9.98065824883681e-09,-9546.746703478722,1447928.4552685316,1203.298988310275,0.12772062909483808,999.9919726046406,1299.917349914451,1599.4435141427755,0.2929597151127104,0.21255119040979967
372759.3720314938,5.571428571428571,0.36780394881122175,0.6143003484383989,0.8452381030773052,0.21497249832815465,0.17901562376920854,0.09720148428826615,-0.08045572318399516,9.977781504019171e-09,-9757.034077199416,1448936.4822314195,1203.717775158039,0.12779733507145682,999.9909634814436,1299.9069607923138,1599.3735918053478,0.2933734391682636,0.2129177060064869
334048.4983513244,5.523809523809524,0.36756234944417226,0.6147837996485368,0.8481885054150763,0.2167178199011826,0.17890650616392478,0.09688309723615793,-0.08050203063197847,9.974797375264347e-09,-9965.490796051517,1449948.328784749,1204.1380023837587,0.12787418466698977,999.9899530811847,1299.896558704518,1599.3035884614862,0.2937897451228742,0.21328770451609835
299357.72947204905,5.476190476190476,0.3673212255506119,0.615268394079047,0.8511700212576656,0.21848045610774083,0.17879743089433559,0.0965631872158691,-0.08054742311465396,9.971704168780766e-09,-10172.104504245637,1450964.009754207,1204.5596746339331,0.1279511784673744,999.9889414006252,1299.886143618402,1599.233503913895,0.29420868868930694,0.2136612556029488
268269.57952797273,5.428571428571429,0.3670805755730115,0.6157541362426788,0.8541832012240204,0.2202606926710339,0.17868839540796994,0.09624174442286366,-0.08059188640502415,9.9685001594126e-09,-10376.862760552754,1451983.5400714178,1204.982796587328,0.12802831706146983,999.9879284365104,1299.875715501156,1599.1633379643968,0.2946303271206466,0.21403843074712228
240409.91835099744,5.380952380952381,0.3668403979609755,0.6162410306771604,0.8572286097295096,0.2220588227546076,0.17857939713485008,0.0959187589323691,-0.08063540598963692,9.965183589339676e-09,-10579.75303563897,1453006.9347748319,1205.4073729552313,0.12810560104107804,999.9869141855728,1299.865274319825,1599.093090413929,0.2950547192609656,0.2144193033061451
215443.46900318822,5.333333333333333,0.36660069117119987,0.6167290819453766,0.8603068254208686,0.22387514721790727,0.17847043348727512,0.0955942206986237,-0.08067796706276717,9.961752667465576e-09,-10780.762711400437,1454034.209010654,1205.8334084817247,0.1281830310009652,999.9858986445282,1299.8548200413043,1599.0227610625384,0.29548192560066977,0.2148039485761499
193069.77288832495,5.285714285714286,0.36636145366743067,0.6172182946355483,0.8634184416277364,0.2257099748800565,0.17836150185960803,0.09526811955373407,-0.08071955452017981,9.958205568754746e-09,-10979.879080170269,1455065.378033779,1206.260907943957,0.12826060753888316,999.9848818100804,1299.8443526323445,1598.9523497093794,0.29591200833258846,0.21519244385420305
173019.57388458945,5.238095238095238,0.3661226839204224,0.6177086733614141,0.8665640668322134,0.2275636227928504,0.17825259962806486,0.09494044520615923,-0.0807601529524743,9.954540433519052e-09,-11177.08934380126,1456100.4572087352,1206.689876152417,0.1283383312555912,999.9838636789161,1299.833872059543,1598.881856152706,0.29634503140916985,0.21558486850215514
155051.57798326254,5.190476190476191,0.36588438040789717,0.6182002227624127,0.8697443251578586,0.2294364165239549,0.178143724150507,0.09461118723883824,-0.0807997466380107,9.950755366654231e-09,-11372.380612627938,1457139.4620106355,1207.1203179512122,0.12841620275487775,999.9828442477083,1299.823378289351,1598.8112801898667,0.29678106060112797,0.21598130401236187
138949.5494373139,5.142857142857143,0.3656465416145039,0.6186929475038668,0.8729598568795518,0.23132869045130613,0.17803487276623495,0.09428033510697811,-0.0808383195354175,9.94684843682666e-09,-11565.739904311638,1458182.4080261386,1207.5522382183467,0.12849422264358273,999.9818235131141,1299.8128712880653,1598.7406216172965,0.2972201635578715,0.21638183407560557
