case,label,uv_running,eft_running,C5_norm_gev_inverse,mass_norm_ev,m1_ev,m2_ev,m3_ev,delta_m21_sq_ev2,delta_m31_sq_ev2,delta_m32_sq_ev2,sin2_theta12,sin2_theta23,sin2_theta13,takagi_residual
frozen,Frozen,False,False,9.018140155365104e-16,0.05467183296104749,0.0010743382137649064,0.009341887713038018,0.05385707242953438,8.611666344545511e-05,0.0028994300480825563,0.0028133133846371013,0.3079516674810813,0.4697073464060045,0.022121506105613822,1.6892854451596546e-16
uv_only,UV only,True,False,9.096026492541201e-16,0.055144013337785826,0.0010833626554288623,0.009438308220518755,0.054319488862554784,8.790798742233404e-05,0.0029494331956460354,0.0028615252082237015,0.3080002679731567,0.47000144051812853,0.022150113438550133,2.58903282791634e-16
eft_only,EFT only,False,True,8.630905533699404e-16,0.05232425062281486,0.001028204558313074,0.008940746554759287,0.051544476422493254,7.887974434270427e-05,0.002655775845055227,0.002576896100712523,0.30795137813453366,0.4697057924515626,0.022121383905549734,1.0097668836203507e-16
full,Full,True,True,8.396120667499692e-16,0.050900884078770185,0.001000000000000076,0.008712060605851186,0.05013980454689043,7.490000000002398e-05,0.0025130000000003743,0.0024381000000003503,0.30799999999998484,0.4699999999999981,0.02214999999999828,2.0990672994163996e-16
